Name,URL,Height,Weight,Weight Class,Reach,Stance,DOB,SLpm,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,Record,Most Recent Fight,FightCount,FightsInUFC,BadSample
Dominick Reyes,http://ufcstats.com/fighter-details/2e19380f34871c6a,76,205 lbs.,Light Heavyweight,77,Southpaw,"Dec 26, 1989",5.39,0.54,3.49,0.49,0.29,0.28,0.82,0.3,15-5-0,93,20,14,False
Maria Oliveira,http://ufcstats.com/fighter-details/37d752ec41ed84bb,66,115 lbs.,Strawweight,69,Orthodox,"Dec 12, 1996",5.03,0.38,5.76,0.44,0.95,0.44,0.47,0.0,13-7-0,933,20,4,False
Joe Doerksen,http://ufcstats.com/fighter-details/dbaaf42313af90fa,72,185 lbs.,Middleweight,75,Orthodox,"Oct 09, 1977",1.43,0.42,2.79,0.5,2.02,0.33,0.33,2.3,51-16-0,5497,67,9,False
Viktor Pesta,http://ufcstats.com/fighter-details/202b0467521c9d6f,75,240 lbs.,Heavyweight,77,Orthodox,"Jul 15, 1990",1.58,0.36,2.54,0.56,3.29,0.28,1.0,0.0,10-4-0,3270,14,5,False
Yushin Okami,http://ufcstats.com/fighter-details/acff437707625fc7,74,170 lbs.,Welterweight,75,Southpaw,"Jul 21, 1981",2.06,0.38,2.25,0.6,1.98,0.39,0.84,0.5,34-12-0,2585,46,21,False
Lukasz Brzeski,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19,75,236 lbs.,Heavyweight,78,Orthodox,"May 17, 1992",4.9,0.5,3.65,0.54,0.41,0.33,0.35,0.4,9-7-1,163,17,7,False
Brandon Vera,http://ufcstats.com/fighter-details/fa315e6c77eee106,75,230 lbs.,Heavyweight,78,Orthodox,"Oct 10, 1977",3.03,0.56,2.81,0.52,0.7,0.53,0.59,0.2,15-7-0,4503,22,16,False
Ryan Jensen,http://ufcstats.com/fighter-details/aae99701b21554e4,73,185 lbs.,Middleweight,76,Orthodox,"Sep 20, 1977",2.84,0.39,2.99,0.59,1.55,0.5,0.31,1.9,21-8-0,5357,29,8,False
Forrest Griffin,http://ufcstats.com/fighter-details/fcffee71cff5530e,75,205 lbs.,Light Heavyweight,77,Orthodox,"Mar 16, 1979",4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7,19-7-0,4923,26,14,False
Jim Alers,http://ufcstats.com/fighter-details/fe5a9547479396ab,69,145 lbs.,Featherweight,71,Orthodox,"Oct 14, 1986",2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,13-3-0,3446,16,4,False
Andrew Sanchez,http://ufcstats.com/fighter-details/fccf811c1e8b01c7,73,185 lbs.,Middleweight,74,Orthodox,"Apr 08, 1988",4.3,0.43,5.1,0.5,2.55,0.36,1.0,0.0,13-7-0,1535,20,8,False
John Cholish,http://ufcstats.com/fighter-details/03c9994c5b8958ec,71,155 lbs.,Lightweight,74,Orthodox,"Dec 17, 1983",2.65,0.49,2.29,0.73,1.82,0.31,0.78,0.4,8-3-0,4608,11,3,False
Nad Narimani,http://ufcstats.com/fighter-details/776a58a67665a171,68,145 lbs.,Featherweight,70,Orthodox,"Apr 14, 1987",3.33,0.42,3.0,0.58,1.92,0.41,0.7,0.0,12-4-0,1990,16,4,False
Brady Hiestand,http://ufcstats.com/fighter-details/7af33fc4435017f1,68,135 lbs.,Bantamweight,71,Orthodox,"Apr 30, 1999",2.7,0.5,3.75,0.51,4.8,0.46,0.42,1.1,9-2-0,562,11,4,False
Matt Sayles,http://ufcstats.com/fighter-details/5b8ba8f5512893b1,67,155 lbs.,Lightweight,68,Orthodox,"Feb 21, 1994",4.83,0.41,2.81,0.61,0.36,0.16,0.81,0.7,8-4-0,1472,12,4,False
David Teymur,http://ufcstats.com/fighter-details/2747c60e42d9d75f,69,155 lbs.,Lightweight,73,Southpaw,"May 01, 1989",4.69,0.43,3.53,0.55,0.94,0.33,0.77,0.0,8-2-0,2522,10,6,False
Scott Askham,http://ufcstats.com/fighter-details/06827d70c53ff0d9,75,185 lbs.,Middleweight,75,Southpaw,"May 20, 1988",3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,14-4-0,3208,18,6,False
DaMarques Johnson,http://ufcstats.com/fighter-details/322a56923b396b4d,73,170 lbs.,Welterweight,75,Orthodox,"Jun 28, 1982",2.11,0.37,3.75,0.51,1.18,0.55,0.19,0.7,15-15-0,4839,30,9,False
Terrance McKinney,http://ufcstats.com/fighter-details/809bd1a871491508,70,155 lbs.,Lightweight,73,Switch,"Sep 15, 1994",6.24,0.56,3.46,0.43,3.34,0.4,0.72,2.1,17-8-0,23,25,12,False
Jamahal Hill,http://ufcstats.com/fighter-details/5444c5a201d3ee5a,76,205 lbs.,Light Heavyweight,79,Southpaw,"May 19, 1991",6.19,0.51,4.03,0.44,0.0,0.0,0.73,0.0,12-4-0,191,16,11,False
Tito Ortiz,http://ufcstats.com/fighter-details/2f732dd9210d301f,75,205 lbs.,Light Heavyweight,74,Orthodox,"Jan 23, 1975",2.59,0.46,2.88,0.6,2.47,0.35,0.54,0.6,19-12-1,4923,32,26,False
Nate Maness,http://ufcstats.com/fighter-details/6e9f40c706f91f32,70,125 lbs.,Flyweight,72,Orthodox,"Jun 27, 1991",3.14,0.5,3.88,0.42,0.68,0.75,0.8,0.7,16-3-0,562,19,7,False
Marc-Andre Barriault,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,73,185 lbs.,Middleweight,74,Orthodox,"Feb 18, 1990",5.7,0.47,5.63,0.5,0.37,0.28,0.68,0.1,17-10-0,156,27,16,False
Cat Zingano,http://ufcstats.com/fighter-details/3ecd936bd8814108,66,145 lbs.,Featherweight,68,Southpaw,"Jul 01, 1982",2.57,0.61,1.63,0.47,2.77,0.65,0.42,0.8,10-4-0,2557,14,6,False
Matt Hobar,http://ufcstats.com/fighter-details/b57edace7b647f07,70,135 lbs.,Bantamweight,70,Southpaw,"Jan 07, 1987",3.23,0.42,4.27,0.52,3.66,0.44,0.5,0.0,9-3-0,4041,12,3,False
Danny Silva,http://ufcstats.com/fighter-details/d964a59c48381cb6,71,145 lbs.,Featherweight,70,Switch,"Jan 30, 1997",6.67,0.55,7.47,0.61,2.0,0.33,0.81,0.2,10-2-0,149,12,3,False
Robbie Lawler,http://ufcstats.com/fighter-details/f2925e6db404bf1d,71,170 lbs.,Welterweight,74,Southpaw,"Mar 20, 1982",3.85,0.47,4.67,0.59,0.65,0.64,0.65,0.0,30-16-0,905,46,25,False
Andre Winner,http://ufcstats.com/fighter-details/b45d6b73f4ca4467,71,155 lbs.,Lightweight,73,Orthodox,"Nov 09, 1981",2.52,0.33,4.57,0.51,0.0,0.0,0.74,0.0,21-11-2,5294,34,5,False
Frankie Saenz,http://ufcstats.com/fighter-details/9ba2226646046b63,66,135 lbs.,Bantamweight,66,Orthodox,"Aug 12, 1980",3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1,13-7-0,1976,20,10,False
Marcos Rogerio de Lima,http://ufcstats.com/fighter-details/ab943cd2c3c17825,73,253 lbs.,Heavyweight,75,Orthodox,"Jun 25, 1985",3.7,0.57,2.9,0.51,1.4,0.45,0.59,0.5,22-10-1,681,33,18,False
JJ Aldrich,http://ufcstats.com/fighter-details/6fd953151d981979,65,125 lbs.,Flyweight,67,Southpaw,"Sep 29, 1992",3.96,0.47,4.32,0.61,0.75,0.26,0.67,0.0,14-7-0,303,21,16,False
Mark Hall,http://ufcstats.com/fighter-details/18524b46c570730b,72,190 lbs.,None,,Orthodox,"Jan 26, 1961",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-6-0,10614,11,7,False
Brian Ortega,http://ufcstats.com/fighter-details/def8166ff24bd237,68,155 lbs.,Lightweight,69,Switch,"Feb 21, 1991",3.84,0.37,6.38,0.49,0.93,0.25,0.54,0.9,16-5-0,128,21,14,False
Benson Henderson,http://ufcstats.com/fighter-details/2676b28836a5a836,69,170 lbs.,Welterweight,70,Southpaw,"Nov 16, 1983",2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,24-7-0,3684,31,14,False
Justin Jaynes,http://ufcstats.com/fighter-details/304a21d0595e1a08,67,145 lbs.,Featherweight,68,Orthodox,"Aug 10, 1989",3.34,0.44,5.33,0.62,0.75,0.4,0.2,1.1,16-8-0,1647,24,5,False
Sergio Moraes,http://ufcstats.com/fighter-details/1bcaac2d99b90fce,72,170 lbs.,Welterweight,72,Orthodox,"Jul 23, 1982",2.42,0.42,3.73,0.59,1.2,0.38,0.75,0.4,14-6-1,2235,21,14,False
Alexandr Romanov,http://ufcstats.com/fighter-details/c0badf3243907e59,74,262 lbs.,Heavyweight,75,Southpaw,"Dec 11, 1990",3.78,0.51,2.13,0.54,4.49,0.55,0.28,0.9,18-3-0,422,21,10,False
ChangHo Lee,http://ufcstats.com/fighter-details/117a06469813e4ef,68,135 lbs.,Bantamweight,69,Orthodox,"May 09, 1994",3.88,0.66,2.13,0.37,3.2,0.34,0.4,0.3,11-2-0,58,13,5,False
Tony Sims,http://ufcstats.com/fighter-details/57bad6a84230f0c9,71,155 lbs.,Lightweight,70,Southpaw,"Oct 14, 1985",1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,12-4-0,3649,16,3,False
Josefine Knutsson,http://ufcstats.com/fighter-details/971dba22c622af12,63,115 lbs.,Strawweight,60,Orthodox,"Jan 16, 1996",4.24,0.51,2.13,0.54,1.6,0.72,0.35,0.0,8-1-0,380,9,4,False
Vicente Luque,http://ufcstats.com/fighter-details/6d4b63c767106d3a,71,170 lbs.,Welterweight,75,Orthodox,"Nov 27, 1991",4.83,0.51,5.3,0.51,0.9,0.48,0.6,0.7,23-12-1,79,36,23,False
Phillipe Nover,http://ufcstats.com/fighter-details/64360e618823a8e4,69,145 lbs.,Featherweight,72,Orthodox,"Feb 03, 1984",1.79,0.35,2.48,0.56,0.99,0.28,0.44,0.7,11-8-1,3243,20,6,False
Melsik Baghdasaryan,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,69,145 lbs.,Featherweight,70,Southpaw,"Jan 28, 1992",5.04,0.59,3.14,0.56,0.0,0.0,0.72,0.0,8-3-0,310,11,5,False
Mike Grundy,http://ufcstats.com/fighter-details/56fcb2c4d99f9d1b,67,145 lbs.,Featherweight,72,Orthodox,"Jan 03, 1987",2.09,0.45,4.45,0.56,4.06,0.28,0.5,0.4,12-4-0,1381,16,4,False
Junior Dos Santos,http://ufcstats.com/fighter-details/63def5a5662a6917,76,238 lbs.,Heavyweight,77,Orthodox,"Jan 30, 1984",4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1,21-9-0,1843,30,23,False
Marcus McGhee,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,68,135 lbs.,Bantamweight,69,Orthodox,"May 07, 1990",5.5,0.45,3.64,0.57,0.31,0.14,0.9,0.3,10-2-0,156,12,5,False
Shane Nelson,http://ufcstats.com/fighter-details/2db7fa8db6bc9632,69,155 lbs.,Lightweight,70,Southpaw,"Nov 29, 1984",1.38,0.31,2.84,0.61,1.31,0.18,0.54,1.6,16-7-0,5861,23,3,False
Nick Maximov,http://ufcstats.com/fighter-details/12585614e0ed2626,72,185 lbs.,Middleweight,76,Southpaw,"Dec 23, 1997",1.93,0.45,2.64,0.46,4.16,0.45,0.35,0.2,8-2-0,1171,10,4,False
Khalil Rountree Jr.,http://ufcstats.com/fighter-details/749f572d1d3161fb,73,205 lbs.,Light Heavyweight,76,Southpaw,"Feb 26, 1990",3.88,0.4,4.33,0.49,0.0,0.0,0.58,0.1,15-7-0,86,22,17,False
Thiago Perpetuo,http://ufcstats.com/fighter-details/c1a5d3843596df92,70,170 lbs.,Welterweight,,Orthodox,"Dec 14, 1987",5.39,0.69,3.51,0.51,2.82,0.5,0.66,0.0,9-4-1,4299,14,3,False
Michelle Waterson-Gomez,http://ufcstats.com/fighter-details/eb04b9d31e938edb,63,115 lbs.,Strawweight,62,Orthodox,"Jan 06, 1986",3.42,0.46,4.25,0.48,1.39,0.33,0.69,0.6,18-13-0,548,31,14,False
John Lineker,http://ufcstats.com/fighter-details/c268b2cfebccf652,63,135 lbs.,Bantamweight,67,Orthodox,"Jun 12, 1990",5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6,31-9-0,2438,40,16,False
Cody Stamann,http://ufcstats.com/fighter-details/bf7ad5628363eec9,66,135 lbs.,Bantamweight,64,Orthodox,"Nov 09, 1989",4.32,0.46,3.91,0.6,2.17,0.37,0.76,0.0,21-8-1,415,30,15,False
Che Mills,http://ufcstats.com/fighter-details/6cadfd8f1d9e7685,73,170 lbs.,Welterweight,76,Orthodox,"Sep 29, 1982",2.08,0.52,2.87,0.43,1.18,0.66,0.58,0.0,16-10-0,4699,26,4,False
Rob Emerson,http://ufcstats.com/fighter-details/dc0f07928009a127,69,155 lbs.,Lightweight,70,Orthodox,"Jul 30, 1981",2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4,18-12-0,5752,30,6,False
Joe Stevenson,http://ufcstats.com/fighter-details/79899ecf62020f6d,67,145 lbs.,Featherweight,70,Orthodox,"Jun 15, 1982",2.05,0.44,2.44,0.6,2.75,0.44,0.39,2.2,33-16-0,5300,49,14,False
Omari Akhmedov,http://ufcstats.com/fighter-details/16690d100f995f8f,72,185 lbs.,Middleweight,73,Orthodox,"Oct 12, 1987",2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,21-6-1,1633,28,15,False
Junior Assuncao,http://ufcstats.com/fighter-details/d0d7160824278840,69,145 lbs.,Featherweight,72,Orthodox,"Jun 24, 1981",3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,16-6-0,5113,22,5,False
Randy Costa,http://ufcstats.com/fighter-details/325ad0dd9126d3df,69,135 lbs.,Bantamweight,73,Switch,"Jul 06, 1994",6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0,6-4-0,1185,10,6,False
Edgar Chairez,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,67,125 lbs.,Flyweight,71,Orthodox,"Jan 27, 1996",3.44,0.44,5.08,0.42,0.0,0.0,0.33,1.7,12-6-0,275,18,5,False
Ian Heinisch,http://ufcstats.com/fighter-details/2e585c701f72fe55,71,185 lbs.,Middleweight,72,Orthodox,"Aug 05, 1988",3.25,0.5,2.98,0.59,1.02,0.17,0.59,0.7,14-5-0,1619,19,7,False
Iliarde Santos,http://ufcstats.com/fighter-details/14aa21bc82cac57d,65,125 lbs.,Flyweight,67,Orthodox,"Sep 25, 1980",3.0,0.3,6.1,0.57,1.66,0.23,0.83,0.0,30-13-1,4464,44,3,False
Daiju Takase,http://ufcstats.com/fighter-details/4f74c8be51db8a37,72,170 lbs.,Welterweight,,Southpaw,"Apr 20, 1978",0.49,0.3,1.64,0.47,0.84,0.17,0.21,1.2,12-15-2,7575,29,3,False
Marcus Aurelio,http://ufcstats.com/fighter-details/04643fd03d9159cc,70,155 lbs.,Lightweight,74,Orthodox,"Aug 18, 1973",1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,22-10-0,5574,32,6,False
Brad Blackburn,http://ufcstats.com/fighter-details/7e69a4b0961aa555,70,170 lbs.,Welterweight,73,Orthodox,"May 25, 1977",4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,18-13-1,5742,32,4,False
Gerard Gordeau,http://ufcstats.com/fighter-details/279093302a6f44b3,77,216 lbs.,Heavyweight,,Orthodox,"Mar 30, 1959",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-2-0,11735,4,3,False
Ashlee Evans-Smith,http://ufcstats.com/fighter-details/fc6e681bf6658faf,68,135 lbs.,Bantamweight,67,Orthodox,"Jul 09, 1987",4.03,0.34,4.59,0.53,0.95,0.22,0.5,0.0,6-6-0,898,12,9,False
Montserrat Conejo Ruiz,http://ufcstats.com/fighter-details/1235b31de15d0c6e,60,115 lbs.,Strawweight,61,Southpaw,"Feb 03, 1993",2.21,0.29,6.19,0.44,1.75,0.5,0.44,0.6,10-5-0,58,15,5,False
Gavin Tucker,http://ufcstats.com/fighter-details/da816417a579a0bd,66,145 lbs.,Featherweight,66,Southpaw,"Jun 17, 1986",4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5,13-3-0,877,16,7,False
Patrick Cummins,http://ufcstats.com/fighter-details/e51e5cb722bd47a8,74,205 lbs.,Light Heavyweight,76,Orthodox,"Nov 16, 1980",4.26,0.5,3.35,0.55,4.49,0.41,0.28,0.1,10-7-0,2417,17,13,False
Clayton Carpenter,http://ufcstats.com/fighter-details/b62d5280966b2460,66,125 lbs.,Flyweight,66,Orthodox,"Jun 09, 1996",3.66,0.53,2.57,0.55,1.99,0.46,0.37,1.3,8-2-0,79,10,4,False
Ronaldo Rodriguez,http://ufcstats.com/fighter-details/f2900678e98f6d6a,66,125 lbs.,Flyweight,65,Orthodox,"May 07, 1999",2.71,0.43,3.8,0.44,1.09,0.36,0.64,0.8,17-3-0,275,20,3,False
Hamdy Abdelwahab,http://ufcstats.com/fighter-details/3329d692aea4dc28,74,265 lbs.,Heavyweight,72,Southpaw,"Jan 22, 1993",4.27,0.55,3.67,0.51,3.25,0.65,1.0,0.0,7-1-0,65,8,4,False
Alexandre Pantoja,http://ufcstats.com/fighter-details/a0f0004aadf10b71,65,125 lbs.,Flyweight,67,Orthodox,"Apr 16, 1990",4.38,0.5,3.88,0.49,2.79,0.47,0.69,1.0,30-6-0,23,36,18,False
Jarno Errens,http://ufcstats.com/fighter-details/082eba4cd80f736f,71,145 lbs.,Featherweight,73,Orthodox,"Nov 17, 1994",3.29,0.44,3.29,0.61,0.0,0.0,0.33,0.3,14-6-1,506,21,4,False
Justin Eilers,http://ufcstats.com/fighter-details/27fc9218a3653e3c,73,235 lbs.,Heavyweight,,Orthodox,"Jun 28, 1978",2.86,0.43,5.66,0.49,0.82,0.25,0.5,0.0,19-7-1,6365,27,4,False
Themba Gorimbo,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,73,170 lbs.,Welterweight,77,Orthodox,"Jan 23, 1991",2.72,0.6,1.32,0.51,5.07,0.65,0.72,0.4,14-6-0,58,20,7,False
Assuerio Silva,http://ufcstats.com/fighter-details/e091482fa6648261,70,241 lbs.,Heavyweight,,Orthodox,"Jun 18, 1974",1.42,0.46,4.2,0.54,2.66,0.34,0.25,1.8,16-8-0,6827,24,3,False
Jason Lambert,http://ufcstats.com/fighter-details/5be86bb2f78fef2f,75,185 lbs.,Middleweight,75,Orthodox,"Jun 03, 1975",3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4,26-13-0,6323,39,8,False
Virna Jandiroba,http://ufcstats.com/fighter-details/7dda2cf308f24a02,63,115 lbs.,Strawweight,64,Orthodox,"May 30, 1988",2.33,0.41,2.9,0.55,2.85,0.37,0.74,1.5,22-4-0,65,26,12,False
Mana Martinez,http://ufcstats.com/fighter-details/c0386644627a7ee5,70,135 lbs.,Bantamweight,70,Orthodox,"Mar 25, 1996",4.33,0.48,4.94,0.5,0.72,0.42,0.25,0.5,10-4-0,1031,14,4,False
Clay Guida,http://ufcstats.com/fighter-details/c47df9303d318c67,67,155 lbs.,Lightweight,70,Orthodox,"Dec 08, 1981",2.63,0.33,3.0,0.61,3.1,0.35,0.66,0.6,38-22-0,387,60,34,False
Shawn Jordan,http://ufcstats.com/fighter-details/ca2efc9d7d523c43,72,260 lbs.,Heavyweight,75,Southpaw,"Oct 21, 1984",2.87,0.5,3.3,0.47,1.97,0.38,0.76,0.1,19-8-0,3740,27,10,False
Chris Padilla,http://ufcstats.com/fighter-details/06626b6287e1ae1e,69,155 lbs.,Lightweight,74,Orthodox,"Sep 14, 1995",4.78,0.54,3.87,0.55,1.18,0.3,0.75,0.4,17-6-0,51,23,4,False
JaeHyun Park,http://ufcstats.com/fighter-details/fe1595732dfb08fc,68,155 lbs.,Lightweight,73,Orthodox,"Dec 10, 2001",1.75,0.67,1.36,0.45,2.31,0.85,0.22,0.4,8-4-0,129,12,3,False
Dan Argueta,http://ufcstats.com/fighter-details/e4ba58725825412d,67,135 lbs.,Bantamweight,68,Southpaw,"Aug 13, 1993",2.48,0.43,3.44,0.5,4.36,0.35,0.55,1.4,9-3-0,443,12,6,False
Heath Herring,http://ufcstats.com/fighter-details/7450525c7ba032a0,76,250 lbs.,Heavyweight,78,Orthodox,"Mar 02, 1978",2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7,28-16-0,6351,44,5,False
Mike Rio,http://ufcstats.com/fighter-details/af90b10c785ced3e,70,155 lbs.,Lightweight,70,Orthodox,"Jul 06, 1981",1.68,0.39,2.99,0.53,2.58,0.27,0.0,1.0,10-5-0,4356,15,3,False
Antonina Shevchenko,http://ufcstats.com/fighter-details/d7338bcb141abd2c,68,125 lbs.,Flyweight,67,Southpaw,"Nov 20, 1984",3.86,0.55,2.93,0.52,0.43,0.42,0.53,0.4,10-4-0,1269,14,7,False
Felipe Silva,http://ufcstats.com/fighter-details/1b38a2b897f6209c,72,155 lbs.,Lightweight,77,Orthodox,"May 08, 1984",5.4,0.5,1.8,0.59,1.0,1.0,0.71,0.0,8-2-0,2781,10,3,False
Ben Alloway,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,71,170 lbs.,Welterweight,76,Orthodox,"Feb 19, 1981",1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,18-8-0,4506,26,3,False
Natalia Silva,http://ufcstats.com/fighter-details/262d32ebda89efc4,64,125 lbs.,Flyweight,65,Southpaw,"Feb 03, 1997",5.04,0.46,2.46,0.65,0.34,0.25,0.92,0.0,19-5-1,233,25,7,False
John Moraga,http://ufcstats.com/fighter-details/92437c6775b3f7d1,66,125 lbs.,Flyweight,66,Orthodox,"Mar 20, 1984",2.57,0.43,2.55,0.56,0.62,0.23,0.44,1.1,19-7-0,2683,26,13,False
